Condition,Outcome
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
seed,no_yawn
no_seed,yawn
no_seed,yawn
no_seed,yawn
no_seed,yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
no_seed,no_yawn
